                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2017.01 on 11 29 2018                              
                                                UCC                                                

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,1,1,1.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/Window.java
6,6,6,1.20,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/MainClass.java
3,3,3,1.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Room.java
3,3,3,1.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Map.java
19,26,19,3.17,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
47,57,42,15.67,Medium,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Encounter.java
28,38,11,4.67,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
4,4,4,2.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleGraphics.java
26,26,26,2.36,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
33,33,33,3.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleSpace.java
15,15,15,1.07,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Enemy.java
8,8,8,2.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Battle.java
18,18,18,1.06,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/Player.java
8,10,8,1.14,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/EnemyList.java
11,11,11,2.20,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Menu.java
14,14,14,2.33,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Game.java
7,7,7,1.75,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Menu/Main.java
6,6,6,1.00,Low,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//Story/Boss.java

257,286,235,,Totals,114  Functions in  18  File(s)
2.25,2.51,2.06,,Averages,6.3  Functions per File   (Averages = Totals/Functions)

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,public Window,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/Window.java
1,1,1,Low,public MainClass,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/MainClass.java
1,1,1,Low,public synchronized void start,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/MainClass.java
2,2,2,Low,public synchronized void stop,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/MainClass.java
1,1,1,Low,public void run,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/MainClass.java
1,1,1,Low,public static void main,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//MainGame/MainClass.java
1,1,1,Low,public Room,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Room.java
1,1,1,Low,public void setName,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Room.java
1,1,1,Low,public String getName,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Room.java
1,1,1,Low,public Map,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Map.java
1,1,1,Low,public void printMenu,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Map.java
1,1,1,Low,public List<String>getBuildingList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Map.java
1,1,1,Low,public TextArea,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
1,1,1,Low,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
1,1,1,Low,public void createAndShowGUI,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
13,19,13,Medium,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
2,3,2,Low,&&!e.getBossList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
1,1,1,Low,&&!e.getBossList,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/TextArea.java
1,1,1,Low,public static int generateRandomInt,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Encounter.java
44,44,39,High,public static String randomEncounter,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Encounter.java
2,12,2,Low,public boolean isValid,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Encounter.java
1,1,1,Low,public Building,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
2,2,2,Low,public void printBuildingMenu,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
1,1,1,Low,public String getID,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
9,9,2,Low,public String buildingDesc,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
13,13,3,Medium,public String setID,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
2,12,2,Low,public boolean isValid,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//apackage/Building.java
3,3,3,Low,public BattleGraphics,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleGraphics.java
1,1,1,Low,protected void paintComponent,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BattleGraphics.java
1,1,1,Low,BossBattleSpace,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
9,9,9,Low,public void actionPerformed,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
1,1,1,Low,private void createAndShowGUI,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
1,1,1,Low,private void showResult,/Users/matt/Desktop/Code/CSI-3471/Group Project/BaylorRPG/src/main/java//battlePackage/BossBattleSpace.java
